network,strategy,strategy_label,mean_final_selfish_ratio,max_final_selfish_ratio,peak_mean_selfish_ratio,mean_total_shared_ratio_misinformation,mean_total_viewed_ratio_misinformation,mean_total_fst_viewed_ratio_misinformation,mean_total_shared_ratio_corrective,mean_total_viewed_ratio_corrective,mean_total_fst_viewed_ratio_corrective,mean_total_shared_ratio_observational,mean_total_viewed_ratio_observational,mean_total_fst_viewed_ratio_observational,mean_total_shared_ratio_behavior_guiding,mean_total_viewed_ratio_behavior_guiding,mean_total_fst_viewed_ratio_behavior_guiding
ba1000,balance,"Balance (0.8, 0.8)",0.00004,0.002,0.09398,0.44195,4.77878,2.45961,0.64513,7.46492,4.704,0.29033333333333333,2.8924000000000003,0.8450666666666667,0.15219,2.0971100000000003,1.7366400000000002
ba1000,certainty_high,"Certainty high (0.9, 0.5)",0.00007000000000000001,0.002,0.0951,0.43697,4.71871,2.43494,0.65124,7.570640000000001,4.68066,0.33684615384615385,3.4009615384615386,0.9792307692307693,0.21297,2.6898000000000004,2.13865
ba1000,effective_high,"Effectiveness high (0.5, 0.9)",0.00004,0.001,0.09326000000000001,0.44312,4.7889,2.46374,0.7901900000000001,9.26107,5.5010900000000005,0.3186190476190476,3.1974761904761904,0.9557619047619048,0.13147999999999999,1.87756,1.58548
ba1000_seed2,balance,"Balance (0.8, 0.8)",0.00004,0.001,0.09418000000000001,0.42122000000000004,4.53904,2.3967600000000004,0.76395,8.78893,5.36502,0.3244761904761905,3.2614761904761904,1.0094285714285716,0.15228,2.0606500000000003,1.70885
ba1000_seed2,certainty_high,"Certainty high (0.9, 0.5)",0.00013000000000000004,0.003,0.09577,0.42211000000000004,4.54892,2.4118000000000004,0.59454,6.815,4.44939,0.3245882352941176,3.276705882352941,0.9400588235294117,0.21259,2.65206,2.11089
ba1000_seed2,effective_high,"Effectiveness high (0.5, 0.9)",0.00009,0.002,0.09393000000000001,0.41789,4.48469,2.3822600000000005,0.8166100000000001,9.42844,5.65673,0.31769565217391305,3.174478260869565,1.0062608695652173,0.13845,1.9288900000000002,1.61579
ba1000_seed3,balance,"Balance (0.8, 0.8)",0.00005,0.001,0.09191,0.41636,4.45997,2.39395,0.72389,8.329790000000001,5.10127,0.3178,3.1936999999999998,0.9153,0.16903,2.26166,1.84855
ba1000_seed3,certainty_high,"Certainty high (0.9, 0.5)",0.00003,0.001,0.0942,0.41712,4.48392,2.3919699999999997,0.5612400000000001,6.4196800000000005,4.25782,0.33292307692307693,3.3386923076923076,0.9470769230769231,0.22609,2.83174,2.2177
ba1000_seed3,effective_high,"Effectiveness high (0.5, 0.9)",0.00004,0.001,0.09149000000000002,0.4137,4.43183,2.37691,0.80315,9.318719999999999,5.59617,0.31140909090909097,3.1428636363636366,0.9336363636363636,0.14827,2.05475,1.7038900000000001
ba1000_seed4,balance,"Balance (0.8, 0.8)",0.00006,0.001,0.09200000000000001,0.43671,4.671930000000001,2.50461,0.7812100000000001,8.950149999999999,5.363720000000001,0.32108,3.22248,1.01128,0.14804,2.0333900000000003,1.68606
ba1000_seed4,certainty_high,"Certainty high (0.9, 0.5)",0.00009,0.001,0.0949,0.43911,4.69032,2.51506,0.5769,6.5335600000000005,4.2926400000000005,0.3402352941176471,3.3708235294117648,1.0147058823529413,0.20601,2.5949400000000002,2.06302
ba1000_seed4,effective_high,"Effectiveness high (0.5, 0.9)",0.00005,0.001,0.09050000000000001,0.43677,4.675479999999999,2.50587,0.7821699999999999,8.98892,5.42066,0.308625,3.0874166666666665,0.9197916666666667,0.13031,1.8498800000000002,1.55586
