info_name,strategy,strategy_label,facebook_like,random,half_facebook,original,random_minus_original,half_facebook_minus_original,facebook_like_minus_original
misinformation,balance,"Balance (0.8, 0.8)",0.49246000000000006,0.4356933333333333,0.47848666666666667,0.43027666666666664,0.005416666666666681,0.04821000000000003,0.062183333333333424
misinformation,effective_high,"Effectiveness high (0.5, 0.9)",0.49241,0.4368533333333333,0.4773833333333333,0.43046999999999996,0.006383333333333352,0.04691333333333336,0.06194000000000005
misinformation,certainty_high,"Certainty high (0.9, 0.5)",0.49544000000000005,0.43747,0.4788766666666667,0.43101666666666666,0.0064533333333333665,0.047860000000000014,0.06442333333333339
corrective,balance,"Balance (0.8, 0.8)",0.6435533333333333,0.5903299999999999,0.6479866666666667,0.6209433333333333,-0.03061333333333338,0.02704333333333342,0.02261000000000002
corrective,effective_high,"Effectiveness high (0.5, 0.9)",0.69145,0.6518033333333334,0.6410733333333333,0.6616266666666667,-0.009823333333333295,-0.020553333333333423,0.029823333333333313
corrective,certainty_high,"Certainty high (0.9, 0.5)",0.5668566666666667,0.5282966666666667,0.55857,0.55574,-0.027443333333333264,0.002829999999999999,0.011116666666666664
observational,balance,"Balance (0.8, 0.8)",0.32924052489884087,0.3237665610514581,0.3335471264367816,0.3373952380952381,-0.013628677043779958,-0.003848111658456499,-0.008154713196397212
observational,effective_high,"Effectiveness high (0.5, 0.9)",0.33212043969102795,0.3277632255181275,0.3281488536155203,0.32984901098901104,-0.002085785470883561,-0.0017001573734907183,0.002271428702016909
observational,certainty_high,"Certainty high (0.9, 0.5)",0.3353178743961353,0.3453241379310345,0.3426872909698997,0.3443146853146853,0.0010094526163492157,-0.0016273943447855932,-0.00899681091854998
behavior-guiding,balance,"Balance (0.8, 0.8)",0.14444333333333334,0.12429333333333333,0.13567666666666667,0.11341333333333332,0.01088,0.022263333333333343,0.031030000000000016
behavior-guiding,effective_high,"Effectiveness high (0.5, 0.9)",0.13283999999999999,0.11227,0.12369666666666668,0.10167333333333334,0.010596666666666657,0.02202333333333334,0.031166666666666648
behavior-guiding,certainty_high,"Certainty high (0.9, 0.5)",0.17623666666666668,0.16198,0.16695333333333337,0.14706333333333332,0.01491666666666669,0.019890000000000047,0.029173333333333357
