info_name,strategy,strategy_label,rust_target,original,random,random_minus_original,rust_target_minus_original
misinformation,balance,"Balance (0.8, 0.8)",0.34390000000000004,0.30728666666666665,0.31870333333333334,0.011416666666666686,0.03661333333333339
misinformation,effective_high,"Effectiveness high (0.5, 0.9)",0.3439566666666667,0.3071266666666667,0.31665000000000004,0.009523333333333328,0.036829999999999974
misinformation,certainty_high,"Certainty high (0.9, 0.5)",0.3458666666666667,0.30817,0.31804,0.00986999999999999,0.03769666666666671
corrective,balance,"Balance (0.8, 0.8)",0.43776,0.5091100000000001,0.4980966666666667,-0.011013333333333375,-0.07135000000000008
corrective,effective_high,"Effectiveness high (0.5, 0.9)",0.44854,0.50976,0.5211566666666667,0.011396666666666722,-0.06122
corrective,certainty_high,"Certainty high (0.9, 0.5)",0.41217333333333334,0.47834000000000004,0.45065,-0.027690000000000048,-0.0661666666666667
observational,balance,"Balance (0.8, 0.8)",0.3138101587301587,0.2999730407523511,0.3130753417107584,0.013102300958407309,0.013837117977807623
observational,effective_high,"Effectiveness high (0.5, 0.9)",0.3076152618135377,0.32171944444444445,0.30439256410256416,-0.01732688034188029,-0.014104182630906736
observational,certainty_high,"Certainty high (0.9, 0.5)",0.3394460367218988,0.33642628205128206,0.3235037263390204,-0.01292255571226164,0.00301975467061677
behavior-guiding,balance,"Balance (0.8, 0.8)",0.18896666666666664,0.13724333333333336,0.14496333333333333,0.007719999999999977,0.05172333333333329
behavior-guiding,effective_high,"Effectiveness high (0.5, 0.9)",0.17929333333333333,0.12667333333333333,0.13140333333333332,0.004729999999999984,0.05262
behavior-guiding,certainty_high,"Certainty high (0.9, 0.5)",0.21193666666666666,0.17087666666666665,0.18206666666666668,0.011190000000000033,0.04106000000000001
