network,method,rep,sampler_seed,best_auc,certainty,effectiveness,final_selfish_ratio,peak_selfish_ratio,final_window_selfish_mean,summary_path,run_dir
BA1000,GPR,optseed1,4201,0.020611549943950105,0.9350412373644952,0.9999999999999999,1e-05,0.09511999999999998,0.00025,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed1/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed1
BA1000,CMAES,optseed1,4202,0.02036227974653747,0.9355167595069338,0.9965880506041647,5e-05,0.09523,0.00026,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1
BA1000,RANDOM,optseed3,6203,0.020399520284282283,0.7344178064169626,0.9962733074400119,2e-05,0.09520999999999999,0.00027333333333333333,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed3/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed3
BA1000,GA,optseed1,4204,0.020358920770577892,0.6643557128025611,0.9972081992056128,3e-05,0.09518999999999998,0.00023333333333333333,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed1/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed1
Facebook,GPR,optseed3,6201,0.01587470021502958,0.8665894392594478,0.9800033301469775,5.199306759098786e-05,0.06835107699925723,0.00031525955269456137,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed3/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed3
Facebook,CMAES,optseed1,4202,0.01590815369107404,0.8746874477976772,0.9798219331820199,5.446892795246348e-05,0.06835107699925723,0.00033506643558636626,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed1/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed1
Facebook,RANDOM,optseed1,4203,0.01592613806252469,0.631104415406682,0.9756368819026089,5.446892795246349e-05,0.06832631839564249,0.00034104976479326567,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed1/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed1
Facebook,GA,optseed3,6204,0.015943729611114704,0.5876116589372055,0.9756942779752106,4.7041346868036646e-05,0.06832631839564249,0.00031732276966245766,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed3/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed3
Wiki-vote,GPR,optseed2,5201,0.00614150446487006,0.9999999999999999,0.9949981117027551,2.1082220660576246e-05,0.030222066057624737,9.041930194424924e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2
Wiki-vote,CMAES,optseed2,5202,0.006194295988015194,0.7817014041375738,0.9538683974750926,1.827125790583275e-05,0.03029093464511595,7.96439447177325e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2
Wiki-vote,RANDOM,optseed3,6203,0.006162619804240631,0.9069793082263349,0.9343036197578457,1.9676739283204498e-05,0.03038791286015461,7.6832981962989e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed3/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed3
Wiki-vote,GA,optseed3,6204,0.006208386201058248,0.5706817910554302,0.9504698599740267,1.9676739283204498e-05,0.030345748418833453,0.00011197001639728274,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3
