method,method_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio
cmaes,CMA-ES,0,misinformation,1394.88,0.3453528101015103,36705.86,9.087858380787324,8756.08,2.1678831393909386
ga,GA,0,misinformation,1401.97,0.3471081950977965,36856.45,9.125142361970784,8748.66,2.1660460510027235
gpr,GPR,0,misinformation,1398.49,0.346246595692003,36682.29,9.082022777915325,8749.79,2.1663258232235707
random,Random,0,misinformation,1401.97,0.3471081950977965,36856.45,9.125142361970784,8748.66,2.1660460510027235
cmaes,CMA-ES,1,corrective,1341.55,0.33214904679376084,34061.54,8.433161673681605,13628.49,3.3742238177766777
ga,GA,1,corrective,1340.96,0.3320029710324338,33896.47,8.392292646694727,13472.23,3.3355360237682596
gpr,GPR,1,corrective,1396.92,0.3458578856152513,35743.51,8.84959395890072,13635.62,3.37598910621441
random,Random,1,corrective,1340.96,0.3320029710324338,33896.47,8.392292646694727,13472.23,3.3355360237682596
cmaes,CMA-ES,2,observational,477.8448275862069,0.11830770675568382,12513.844827586207,3.0982532378277314,1373.5344827586207,0.3400679580981978
ga,GA,2,observational,566.3076923076923,0.14020987677833432,14695.442307692309,3.6383863103967093,1645.326923076923,0.40735997105147886
gpr,GPR,2,observational,570.2153846153847,0.1411773668272802,15246.969230769231,3.7749366751099855,1645.4,0.4073780638771974
random,Random,2,observational,566.3076923076923,0.14020987677833432,14695.442307692309,3.6383863103967093,1645.326923076923,0.40735997105147886
cmaes,CMA-ES,3,behavior-guiding,955.15,0.23648180242634315,33026.71,8.176952215895023,8807.39,2.1805867789056697
ga,GA,3,behavior-guiding,939.92,0.2327110670958158,32432.14,8.029744986382768,8721.56,2.1593364694231245
gpr,GPR,3,behavior-guiding,1007.66,0.2494825451844516,34847.83,8.627836098044071,9041.4,2.2385243872245604
random,Random,3,behavior-guiding,939.92,0.2327110670958158,32432.14,8.029744986382768,8721.56,2.1593364694231245
